budget,movie_id,popularity,release_date,revenue,runtime,status,tagline,movie_title,vote_average,vote_count,language,full_original_name,country_short,country_name,release_date_season,oscar_year,year_of_release,award,actor_id,actor,director_id,director_name,genres,keywords,production,release_year,release_month,release_dayofweek,release_year_bins
60000000.0,5994,19.7,2000-12-12,0.0,125,Released,"What if you made different choices? What if you said yes, instead of no? What if you got a second chance?",The Family Man,6.5,500,en,English,US,United States of America,Winter,0,0,Non-nominee,2963,Nicolas Cage,11091,Brett Ratner,"Comedy, Drama, Romance, Fantasy","workaholic, second chance, guardian angel, christmas, career vs family, life reprioritizing",Universal Pictures,2000,12,1,2001-2010
0.0,6016,2.8,2003-04-03,0.0,108,Released,He doesn't want money. He wants what money can't buy.,The Good Thief,6.0,0,en,English,CA,Canada,Spring,0,0,Non-nominee,1733,Nick Nolte,17016,Neil Jordan,"Crime, Drama, Thriller","casino, monte carlo, painting, caper, independent film, heist movie","Fox Searchlight Pictures, Alliance Atlantis Communications, Metropolitan Films, TNVO",2003,4,3,2001-2010
30000000.0,6023,29.5,2007-11-15,156835339.0,126,Released,"His life ended. Now, a new one will begin.",P.S. I Love You,6.9,1000,en,English,US,United States of America,Fall,0,0,Non-nominee,448,Hilary Swank,2163,Richard LaGravenese,"Drama, Romance","job-hopping, irland, shoe seller, letter, dying and death, loss of husband","Wendy Finerman Productions, Alcon Entertainment, Grosvenor Park Productions",2007,11,3,2001-2010
50000000.0,6038,16.3,2003-02-06,88323487.0,115,Released,A Royal Kick In The Arse.,Shanghai Knights,6.0,700,en,English,HK,Hong Kong,Winter,0,0,Non-nominee,18897,Jackie Chan,42994,David Dobkin,"Action, Adventure, Comedy, Western","london england, indian territory, emperor, revenge, murder, arrow, duringcreditsstinger, imperial seal","Spyglass Entertainment, Touchstone Pictures, Birnbaum / Barber Productions, Jackie Chan Films Limited, All Knight Productions",2003,2,3,2001-2010
70000000.0,6068,18.3,1998-06-12,164000000.0,98,Released,"After this week in paradise, they’re going to need a vacation.",Six Days Seven Nights,5.6,300,en,English,US,United States of America,Summer,0,0,Non-nominee,3,Harrison Ford,8858,Ivan Reitman,"Action, Adventure, Comedy, Romance","overleven, family guy","Caravan Pictures, Roger Birnbaum Productions, Northern Lights Entertainment, Touchstone Pictures",1998,6,4,1991-2000
57000000.0,6073,21.0,2001-03-01,147845033.0,123,Released,Love with the safety off.,The Mexican,5.8,400,en,English,MX,Mexico,Spring,0,0,Non-nominee,287,Brad Pitt,1704,Gore Verbinski,"Action, Comedy, Crime, Romance","kidnapping, pistol","DreamWorks SKG, Newmarket Capital Group, Lawrence Bender Productions, Pistolero Productions LLC",2001,3,3,2001-2010
4500000.0,6106,3.8,1986-04-23,0.0,123,Released,Based on a true story.,Salvador,7.0,100,en,English,GB,United Kingdom,Spring,0,0,Non-nominee,4512,James Woods,1152,Oliver Stone,Drama,"civil war, dictator, journalist, guerrilla, loss of lover, revolution, war correspondent, civil rights movement , picture journalist, el salvador, dictatorship",Hemdale Film,1986,4,2,1971-1990
40000000.0,6114,45.0,1992-11-13,215862692.0,128,Released,Love never dies.,Dracula,7.1,1100,en,English,US,United States of America,Fall,0,0,Non-nominee,64,Gary Oldman,1776,Francis Ford Coppola,"Romance, Horror","adultery, maze, vampire, bite, remake, rough sex, wake, religious conflict, bestiality, correspondence, vampire sex, autonomous shadow, vlad, fang vamp","American Zoetrope, Columbia Pictures Corporation, Osiris Films",1992,11,4,1991-2000
25000000.0,6116,6.9,1997-12-19,100000000.0,93,Released,You say you want a revolution?,Spice World,4.7,100,en,English,GB,United Kingdom,Winter,0,0,Non-nominee,47983,Victoria Beckham,47974,Bob Spiers,"Adventure, Fantasy, Drama, Comedy, Music","pop, pop culture, pop star",Columbia Pictures Corporation,1997,12,4,1991-2000
68000000.0,6171,26.8,2003-03-21,75715436.0,136,Released,A circle of friendship. A web of mystery. A pattern of fear.,Dreamcatcher,5.3,600,en,English,US,United States of America,Spring,0,0,Non-nominee,192,Morgan Freeman,8844,Lawrence Kasdan,"Drama, Horror, Science Fiction, Thriller",religion and supernatural,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II",2003,3,4,2001-2010
0.0,6217,5.7,1982-04-02,0.0,118,Released,They are something more than lovers who are about to become something less than human.,Cat People,6.0,100,en,English,US,United States of America,Spring,0,0,Non-nominee,2630,Nastassja Kinski,1035,Paul Schrader,"Drama, Fantasy, Horror, Thriller","shotgun, attack, lingerie, held captive, incest, dissection, jungle cat, erotic movie","Universal Pictures, RKO Pictures",1982,4,4,1971-1990
60000000.0,6278,27.6,2002-07-12,43061982.0,101,Released,Fight Fire With Fire,Reign of Fire,6.0,700,en,English,IE,Ireland,Summer,0,0,Non-nominee,3894,Christian Bale,12523,Rob Bowman,"Adventure, Action, Fantasy","dragon, evolution, fire chief, animated map, theatre audience, dragonslayer, tunnel construction, fire repellent, drilling, iodine","The Zanuck Company, Spyglass Entertainment, World 2000 Entertainment, Touchstone Pictures, Tripod Entertainment",2002,7,4,2001-2010
45000000.0,6282,26.8,2000-07-30,113916474.0,100,Released,This party never ends.,Coyote Ugly,5.8,600,en,English,US,United States of America,Summer,0,0,Non-nominee,15555,Piper Perabo,48980,David McNally,Comedy,"bar, musical, beautiful woman","Jerry Bruckheimer Films, Touchstone Pictures",2000,7,6,2001-2010
75000000.0,6415,35.0,1999-09-27,108000000.0,114,Released,It's good to be King.,Three Kings,6.6,700,en,English,US,United States of America,Fall,0,0,Non-nominee,1461,George Clooney,17883,David O. Russell,"Action, Adventure, Comedy","gold, gulf war, three kings, iraq, kuwait, rescue, interracial relationship, treasure map, soldier, u.s. soldier, gold theft, persian gulf, emergency surgery, mine field","Village Roadshow Pictures, Atlas Entertainment, Warner Bros., Village-A.M. Partnership, Coast Ridge, Junger Witt Productions",1999,9,0,1991-2000
75000000.0,6435,15.1,1998-10-16,46683377.0,104,Released,"For two sisters from a family of witches, falling in love is the trickiest spell of all.",Practical Magic,6.3,300,en,English,US,United States of America,Fall,0,0,Non-nominee,18277,Sandra Bullock,2171,Griffin Dunne,"Drama, Fantasy, Comedy","witch, magic, sorcery, love, curse, family curse","Village Roadshow Pictures, DiNovi Pictures, Fortis Films, Warner Bros., Stargate Studios",1998,10,4,1991-2000
30000000.0,6439,8.1,2005-01-06,93772522.0,102,Released,Cheer 'til you're horse!,Racing Stripes,5.1,100,en,English,US,United States of America,Winter,0,0,Non-nominee,51391,Frankie Muniz,50582,Frederik Du Chau,Comedy,"love of animals, horse, identity crisis, farm, zebra",Alcon Entertainment,2005,1,3,2001-2010
0.0,6440,11.1,2001-12-18,0.0,111,Released,You'll never guess what you'll find inside...,The Shipping News,6.4,100,en,English,US,United States of America,Winter,0,0,Non-nominee,1979,Kevin Spacey,5306,Lasse Hallström,"Drama, Romance","sex, adultery, based on novel, fishing, isolation, kidnapping, newfoundland, survival, reporter, drunk",Miramax Films,2001,12,1,2001-2010
30000000.0,6466,26.7,2003-08-15,114908830.0,97,Released,Evil Will Battle Evil,Freddy vs. Jason,5.8,600,en,English,CA,Canada,Summer,0,0,Non-nominee,5139,Robert Englund,17268,Ronny Yu,Horror,"murder, marijuana, teenager, bad dream","New Line Cinema, Cecchi Gori Group Tiger Cinematografica, Avery Pix, Sean S. Cunningham Films, Crystal Lake Entertainment, WTC Productions, Yannix Technology Corporation",2003,8,4,2001-2010
60000000.0,6477,47.3,2007-12-13,361366633.0,92,Released,Get your squeak on!,Alvin and the Chipmunks,5.5,1200,en,English,US,United States of America,Winter,0,0,Non-nominee,11662,Jason Lee,49903,Tim Hill,"Comedy, Music, Family, Fantasy, Animation","pop, pop star, record producer, surprise, approach, forest, music, concert, friendship, performance, chipmunk, talking animal, songwriter, talking to animals, duringcreditsstinger","Dune Entertainment, Regency Enterprises, Fox 2000 Pictures, Bagdasarian Productions",2007,12,3,2001-2010
23000000.0,6478,6.1,2004-12-17,0.0,118,Released,"In the era of cool, Bobby Darin was the soundtrack.",Beyond the Sea,6.5,100,en,English,DE,Germany,Winter,0,0,Non-nominee,1979,Kevin Spacey,1979,Kevin Spacey,"Drama, Music","musical, perfectionist, rowboat, courtship",Lionsgate,2004,12,4,2001-2010
150000000.0,6479,70.9,2007-12-14,585349010.0,101,Released,The last man on Earth is not alone,I Am Legend,6.9,4900,en,English,US,United States of America,Winter,0,0,Non-nominee,2888,Will Smith,10943,Francis Lawrence,"Drama, Horror, Action, Thriller, Science Fiction","saving the world, lost civilisation, post-apocalyptic, dystopia, matter of life and death, alone, helplessness, virus, pandemic","Village Roadshow Pictures, Original Film, Weed Road Pictures, Warner Bros., Heyday Films, Overbrook Entertainment",2007,12,4,2001-2010
31000000.0,6488,15.9,1990-08-09,53208180.0,103,Released,"Eight legs, two fangs, and an attitude.",Arachnophobia,6.2,400,en,English,US,United States of America,Summer,0,0,Non-nominee,8447,Jeff Daniels,664,Frank Marshall,"Comedy, Horror","small town, outbreak, exterminator, spider bite, creature feature, spider queen, animal attack, spiders, invasive species, arachnophobia, animal horror, spider general","Amblin Entertainment, Hollywood Pictures, Tangled Web Productions",1990,8,3,1991-2000
50000000.0,6519,16.0,2005-08-05,110803676.0,104,Released,Cousins. Outlaws. Thrillbillies.,The Dukes of Hazzard,5.1,300,en,English,US,United States of America,Summer,0,0,Non-nominee,9656,Johnny Knoxville,52049,Jay Chandrasekhar,"Action, Adventure, Comedy","sheriff, farm, bikini, redneck, moonshine","Village Roadshow Pictures, Gerber Pictures, Warner Bros., WV Films III",2005,8,4,2001-2010
55000000.0,6520,19.1,1995-07-07,127600435.0,134,Released,Their greatest battle would be for her love.,First Knight,5.9,300,en,English,US,United States of America,Summer,0,0,Non-nominee,738,Sean Connery,3415,Jerry Zucker,"Action, Adventure, Drama, Romance","camelot, knight, king arthur, excalibur, knights of the round table","Columbia Pictures Corporation, First Knight Productions",1995,7,4,1991-2000
9000000.0,6521,7.0,2000-10-13,0.0,126,Released,Sometimes you can assassinate a leader without firing a shot.,The Contender,6.7,100,en,English,DE,Germany,Fall,0,0,Non-nominee,64,Gary Oldman,21526,Rod Lurie,"Drama, Thriller","politics, suspense","Battleplan Productions, DreamWorks Pictures",2000,10,4,2001-2010
0.0,6537,29.1,2007-08-27,44000000.0,105,Released,A tale of love.  A story of horror.,The Orphanage,7.1,600,es,Spanish,ES,Spain,Summer,0,0,Non-nominee,19907,Belén Rueda,51894,Juan Antonio Bayona,"Horror, Drama, Thriller","schizophrenia, suppressed past, wife","Wild Bunch, Telecinco, Telecinco Cinema, Televisió de Catalunya TV3, Esta Vivo! Laboratorio de Nuevos Talentos, Grupo Rodar, Rodar y Rodar Cine y Televisión, Warner Bros. Pictures de España",2007,8,0,2001-2010
75000000.0,6538,18.7,2007-12-19,119000410.0,102,Released,Based on a true story. You think we could make all this up?,Charlie Wilson's War,6.5,300,en,English,US,United States of America,Winter,0,0,Non-nominee,31,Tom Hanks,5342,Mike Nichols,"Comedy, Drama, History","washington d.c., alcohol, cia, helicopter, refugee camp, congress, cold war, ladykiller, rocket launcher, russian, munition, war in afghanistan, dollar","Universal Pictures, Participant Productions, Playtone Production",2007,12,2,2001-2010
25000000.0,6552,8.6,1999-04-30,4152230.0,92,Released,The touching story of a boy and his right hand.,Idle Hands,6.1,200,en,English,US,United States of America,Spring,0,0,Non-nominee,50398,Devon Sawa,50719,Rodman Flender,"Thriller, Comedy, Horror","teenager, attic, knitting needle, noise complaint, crawling hand, angel costume, trowel, bass guitarist, priestess","Columbia Pictures Corporation, Team Todd, Licht/Mueller Film Corporation",1999,4,4,1991-2000
30000000.0,6557,30.7,2008-01-10,160259319.0,111,Released,She's about to find the perfect fit.,27 Dresses,6.1,1000,en,English,US,United States of America,Winter,0,0,Non-nominee,25541,Katherine Heigl,29214,Anne Fletcher,"Comedy, Romance","lovesickness, newspaper, bar, sister sister relationship, new love, wedding planer, witness, bride, bridesmaid, sister, music, romantic comedy, sibling rivalry, reporter, wedding, woman director","Spyglass Entertainment, Fox 2000 Pictures, Dune Entertainment III",2008,1,3,2001-2010
35000000.0,6575,10.7,2007-12-21,18317151.0,96,Released,Life made him tough. Love made him strong. Music made him hard.,Walk Hard: The Dewey Cox Story,6.6,200,en,English,US,United States of America,Winter,0,0,Non-nominee,4764,John C. Reilly,51851,Jake Kasdan,"Comedy, Music","music record, rock and roll, pop, hip-hop, fab four, blues, pop star, rapper, record producer, rock, music, music instrument, wedding, extramarital affair, aftercreditsstinger","Columbia Pictures Corporation, Apatow Productions",2007,12,4,2001-2010
12000000.0,6615,15.8,2007-10-12,11293663.0,106,Released,The search for true love begins outside the box.,Lars and the Real Girl,7.1,500,en,English,US,United States of America,Fall,0,0,Non-nominee,30614,Ryan Gosling,50767,Craig Gillespie,"Comedy, Romance, Drama","garage, lone wolf, dying and death, loss, delusion, puppet, doll","Sidney Kimmel Entertainment, Metro-Goldwyn-Mayer (MGM), Lars Productions",2007,10,4,2001-2010
50000000.0,6623,15.9,1997-09-26,0.0,124,Released,How do you get the world's attention?,The Peacemaker,5.8,300,en,English,US,United States of America,Fall,0,0,Non-nominee,1461,George Clooney,51984,Mimi Leder,"Action, Thriller","helicopter, terrorist, nuclear missile, bridge, train crash, train, woman director",DreamWorks SKG,1997,9,4,1991-2000
45000000.0,6639,5.4,2007-10-04,4607608.0,139,Released,How long would you wait for love?,Love in the Time of Cholera,6.4,100,en,English,US,United States of America,Fall,0,0,Non-nominee,3810,Javier Bardem,10723,Mike Newell,"Drama, Romance","sex, marriage proposal, new love, colombia, letter, love letter, dying and death, ship, marriage, cholera, teacher, principal, doctor, extramarital affair, emotions","New Line Cinema, Grosvenor Park Media Ltd.",2007,10,3,2001-2010
15000000.0,6687,11.4,2008-01-18,5926410.0,111,Released,You can't escape your lies.,Transsiberian,6.5,200,en,English,DE,Germany,Winter,0,0,Non-nominee,57755,Woody Harrelson,37948,Brad Anderson,"Thriller, Crime, Mystery","china, married couple, backpacker, firearm, police, travel, snow, blood, cowardliness, train, drug, killer, siberia, moscow, trans-siberian railway","Lietuvos Kinostudija, Scout Productions, Telecinco Cinema, Castelao Producciones, Canal+ España, Future Films, Filmax International, Filmax Group, Universum Film (UFA)",2008,1,4,2001-2010
65000000.0,6795,15.2,2005-11-06,64321501.0,101,Released,Adventure Is Waiting,Zathura: A Space Adventure,6.1,800,en,English,US,United States of America,Fall,0,0,Non-nominee,51297,Jonah Bobo,15277,Jon Favreau,"Family, Fantasy, Science Fiction, Adventure","adventure, house, alien, giant robot, outer space, astronaut","Columbia Pictures Corporation, Teitler Film, Michael De Luca Productions, Radar Pictures",2005,11,6,2001-2010
50000000.0,6877,18.8,2006-03-10,88715192.0,97,Released,"To leave the nest, some men just need a little push.",Failure to Launch,5.5,400,en,English,US,United States of America,Spring,0,0,Non-nominee,10297,Matthew McConaughey,46076,Tom Dey,Comedy,"hotel mom, romantic comedy, lying, living with parents, pretend relationship","Paramount Pictures, Scott Rudin Productions, Failure to Launch Productions",2006,3,4,2001-2010
20000000.0,6933,12.5,2008-01-04,0.0,87,Released,What will it sound like when you die?,One Missed Call,4.7,200,en,English,DE,Germany,Winter,0,0,Non-nominee,27855,Shannyn Sossamon,51445,Eric Valette,"Horror, Mystery, Thriller","candy, loss of sister, mobile phone, answering machine, dying and death, victim, death of a friend, sms, asthma, friendship, police, delusion, remake, cowardliness, train","Intermedia Films, Alcon Entertainment, Kadokawa Pictures, Equity Pictures Medienfonds GmbH & Co. KG IV",2008,1,4,2001-2010
60000000.0,6947,27.5,2004-07-30,256697520.0,108,Released,There is no turning back,The Village,6.2,1100,en,English,US,United States of America,Summer,0,0,Non-nominee,18997,Bryce Dallas Howard,11614,M. Night Shyamalan,"Drama, Mystery, Thriller","secret, forest, rural setting, blindness, courtship, mentally handicapped man, human nature, aura, romantic, village council","Scott Rudin Productions, Touchstone Pictures, Blinding Edge Pictures",2004,7,4,2001-2010
50000000.0,6950,30.4,1995-03-10,189859560.0,127,Released,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,Outbreak,6.3,500,en,English,US,United States of America,Spring,0,0,Non-nominee,4483,Dustin Hoffman,5231,Wolfgang Petersen,"Action, Drama, Science Fiction, Thriller","river, general, research, army, serum, monkey, epidemic, medical research","Kopelson Entertainment, Punch Productions, Warner Bros., Arnold Kopelson Productions",1995,3,4,1991-2000
26000000.0,6957,38.5,2005-08-11,109449237.0,116,Released,"The longer you wait, the harder it gets",The 40 Year Old Virgin,6.2,2000,en,English,US,United States of America,Summer,0,0,Non-nominee,4495,Steve Carell,41039,Judd Apatow,"Comedy, Romance","first time, virgin","Universal Pictures, Apatow Productions",2005,8,3,2001-2010
15000000.0,6961,10.2,2005-02-04,47175038.0,88,Released,Love doesn't come cheap.,The Wedding Date,6.2,200,en,English,US,United States of America,Winter,0,0,Non-nominee,23959,Debra Messing,51600,Clare Kilner,"Comedy, Romance","based on novel, callboy, wedding, escort, fake boyfriend, woman director","26 Films, Gold Circle Films, Visionview Production",2005,2,4,2001-2010
20000000.0,6963,14.0,2005-10-20,12482775.0,101,Released,Dave Spritz is about to take his best shot . . . at life,The Weather Man,6.0,300,en,English,DE,Germany,Fall,0,0,Non-nominee,2963,Nicolas Cage,1704,Gore Verbinski,"Comedy, Drama","new york, chicago, midlife crisis, television, daughter, father, weatherman, terminal illness, wettermann","Paramount Pictures, Escape Artists, Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG",2005,10,3,2001-2010
80000000.0,6964,16.9,2003-12-12,266728738.0,128,Released,Schmucks are people too.,Something's Gotta Give,6.3,400,en,English,US,United States of America,Winter,0,0,Non-nominee,514,Jack Nicholson,17698,Nancy Meyers,"Drama, Comedy, Romance","age difference, ladykiller, woman director","Columbia Pictures Corporation, Waverly Films, Warner Bros.",2003,12,4,2001-2010
130000000.0,6972,28.8,2008-11-18,49554002.0,165,Released,Welcome to Australia!,Australia,6.3,700,en,English,AU,Australia,Fall,0,0,Non-nominee,2227,Nicole Kidman,6201,Baz Luhrmann,Drama,"missionary, world war ii, ranch, australia, british, racist, cattle drive, aftercreditsstinger, stampede, waltzing matilda, trampled to death","Bazmark Films, Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment III, ScreenWest",2008,11,1,2001-2010
23000000.0,6973,15.7,2007-08-31,29541790.0,124,Released,Sometimes finding the truth is easier than facing it.,In the Valley of Elah,6.6,300,en,English,US,United States of America,Summer,0,0,Non-nominee,2176,Tommy Lee Jones,455,Paul Haggis,"History, Drama, Thriller, Crime, Mystery","father son relationship, detective, war crimes, patriotism, homicide, investigation, iraq, military service, police, cover-up, disappearance, murder investigation","Summit Entertainment, Blackfriars Bridge Films, NALA Films, Samuels Media, Warner Independent Pictures (WIP)",2007,8,4,2001-2010
25000000.0,6977,53.6,2007-11-08,171600000.0,122,Released,There are no clean getaways.,No Country for Old Men,7.7,3000,en,English,US,United States of America,Fall,2007,2007,Winner,2176,Tommy Lee Jones,1223,Joel Coen,"Crime, Drama, Thriller","texas, drug traffic, hitman, united states–mexico barrier, suspense","Miramax Films, Scott Rudin Productions, Paramount Vantage, Mike Zoss Productions",2007,11,3,2001-2010
25000000.0,6978,29.8,1986-05-30,11000000.0,99,Released,Adventure doesn't come any bigger!,Big Trouble in Little China,7.1,700,en,English,US,United States of America,Spring,0,0,Non-nominee,6856,Kurt Russell,11770,John Carpenter,"Action, Adventure, Comedy, Fantasy","kung fu, chinatown, magic, mystery","Twentieth Century Fox Film Corporation, TAFT Entertainment Pictures",1986,5,4,1971-1990
0.0,7006,6.8,2007-01-05,0.0,99,Released,Sometimes they don't come back alone.,White Noise 2: The Light,5.6,100,en,English,CA,Canada,Winter,0,0,Non-nominee,51797,Nathan Fillion,27226,Patrick Lussier,"Thriller, Drama, Horror, Fantasy","suicide, murder","Brightlight Pictures, Gold Circle Films",2007,1,4,2001-2010
25000000.0,7191,46.9,2008-01-15,170764026.0,85,Released,Some Thing Has Found Us,Cloverfield,6.4,2300,en,English,US,United States of America,Winter,0,0,Non-nominee,51988,Lizzy Caplan,32278,Matt Reeves,"Action, Thriller, Science Fiction","helicopter, monster, skyscraper, fight, camcorder, panic, chaos, supernatural, quarantine, friends, alien, rescue, survival, disaster, escape, giant monster, kaiju, military, found footage, aftercreditsstinger","Paramount Pictures, Bad Robot",2008,1,1,2001-2010
30000000.0,7214,23.2,2005-01-14,76669806.0,136,Released,It begins on the street. It ends here.,Coach Carter,7.3,500,en,English,DE,Germany,Winter,0,0,Non-nominee,2231,Samuel L. Jackson,52038,Thomas Carter,Drama,"black people, autoritian education, sport, high school, scholarship, basketball, violence in schools, teacher, teachers and students","Paramount Pictures, MTV Films, Tollin/Robbins Productions",2005,1,4,2001-2010
33000000.0,7220,35.1,2004-04-15,54700105.0,124,Released,"There is no justice, there is only revenge.",The Punisher,6.1,800,en,English,DE,Germany,Spring,0,0,Non-nominee,11155,Thomas Jane,876,Jonathan Hensleigh,"Action, Crime, Drama","chain, submachine gun, undercover, smuggling, twin brother, marvel comic, one man army, massacre, extreme violence, family reunion, pier","Lions Gate Films, VIP 3 Medienfonds, Valhalla Motion Pictures, Marvel Enterprises, VIP 2 Medienfonds",2004,4,3,2001-2010
30000000.0,7278,10.6,2008-01-24,84646831.0,84,Released,"The Bigger the Hit, The Harder They Fall",Meet the Spartans,3.7,400,en,English,US,United States of America,Winter,0,0,Non-nominee,52262,Sean Maguire,35694,Jason Friedberg,Comedy,"fight, queen, penguin, black hole, men, army, s.a.t., aftercreditsstinger, duringcreditsstinger","Regency Enterprises, New Regency Pictures",2008,1,3,2001-2010
20000000.0,7299,44.6,2002-12-06,5359645.0,107,Released,"In a future where freedom is outlawed, outlaws will become heroes.",Equilibrium,6.9,1600,en,English,US,United States of America,Winter,0,0,Non-nominee,3894,Christian Bale,13927,Kurt Wimmer,"Action, Science Fiction, Thriller","resistance, fascism, totalitarian regime, destroy, phasing, dystopia, book burning, outlaw, government agent","Dimension Films, Blue Tulip Productions",2002,12,4,2001-2010
17000000.0,7304,19.3,2006-01-06,9500000.0,122,Released,Every bullet leaves a trail.,Running Scared,7.0,300,en,English,DE,Germany,Winter,0,0,Non-nominee,8167,Paul Walker,19000,Wayne Kramer,"Action, Crime, Drama, Thriller","ice hockey, racism, pedophile, throat slitting, shot in the stomach, head blown off, police investigation, pistol whip, shot in the shoulder, child uses gun, ankle holster, breaking finger","International Production Company, True Grit Productions, Zero Gravity Management, Pierce/Williams Entertainment",2006,1,4,2001-2010
32000000.0,7305,14.5,1993-01-15,36733909.0,120,Released,They survived the impossible...by doing the unthinkable.,Alive,6.7,400,en,English,US,United States of America,Winter,0,0,Non-nominee,569,Ethan Hawke,664,Frank Marshall,"Action, Adventure, Drama, Thriller","rugby, stranded, survival, plane wreck, airplane crash, freezing, disaster movie","Paramount Pictures, Touchstone Pictures",1993,1,4,1991-2000
7500000.0,7326,19.8,2007-12-05,231411584.0,96,Released,A comedy about growing up... and the bumps along the way.,Juno,7.0,2200,en,English,US,United States of America,Winter,2007,2007,Nominee,27578,Ellen Page,52443,Jason Reitman,"Comedy, Drama, Romance","sexuality, becoming an adult, puberty, first time, oscar award, pregnancy and birth, pregnant minor, precocity, partnership, teenager, teenage pregnancy","Fox Searchlight Pictures, Mandate Pictures",2007,12,2,2001-2010
21000000.0,7341,4.8,1999-03-11,17762705.0,104,Released,Looks Can Kill,The Rage: Carrie 2,5.1,100,en,English,US,United States of America,Spring,0,0,Non-nominee,51390,Emily Bergl,102634,Katt Shea,"Horror, Thriller, Science Fiction","suicide, male nudity, female nudity, fire, nudity, asylum, telekinesis, high school, swimming pool, party, sequel, murder, prom, teacher, decapitation, blood, splatter, weightlifting, teen suicide, woman director","United Artists, Red Bank Films",1999,3,3,1991-2000
25000000.0,7345,37.8,2007-12-28,77208711.0,158,Released,There Will Be Greed. There Will Be Vengeance.,There Will Be Blood,7.9,1500,en,English,US,United States of America,Winter,2007,2007,Nominee,11856,Daniel Day-Lewis,4762,Paul Thomas Anderson,Drama,"brother brother relationship, deaf-mute, american dream, fanatic, pipeline, petrol, father, step father, oil, money, killer, alcoholic","Miramax Films, Ghoulardi Film Company, Paramount Vantage",2007,12,4,2001-2010
4000000.0,7347,23.6,2007-10-12,0.0,115,Released,On the streets of Rio only the elite survive,Elite Squad,7.8,500,pt,Portuguese,BR,Brazil,Fall,0,0,Non-nominee,52583,Wagner Moura,52576,José Padilha,"Drama, Action, Crime","slum, police brutality, brazilian, war on drugs, rio de janeiro, drug traffic, drug dealer, torture by the police, special forces, law enforcement","The Weinstein Company, Zazen Produções, Estúdios Mega, Quanta Centro de Produções Cinematográficas, Costa Films, Posto 9, Feijão Filmes, Universal Pictures do Brasil",2007,10,4,2001-2010
45000000.0,7350,31.3,2007-12-25,175372502.0,97,Released,Find the joy.,The Bucket List,7.0,1100,en,English,US,United States of America,Winter,0,0,Non-nominee,514,Jack Nicholson,3026,Rob Reiner,"Drama, Comedy","africa, himalaya, brain tumor, wife husband relationship, sense of life, male friendship, safari, dying and death, wish, journey round the world, terminal illness, billionaire, father daughter relationship, estranged father, elderly, bucket list, taj mahal","Two Ton Films, Zadan / Meron Productions, Reiner / Greisman Productions",2007,12,1,2001-2010
130000000.0,7364,21.6,2005-04-06,119269486.0,124,Released,Dirk Pitt. Adventure has a new name.,Sahara,5.7,400,en,English,DE,Germany,Spring,0,0,Non-nominee,10297,Matthew McConaughey,52609,Breck Eisner,"Action, Adventure, Comedy, Drama, Mystery","tyrant, ironclad ship","Paramount Pictures, Bristol Bay Productions, Baldwin Entertainment Group, Desertlands Entertainment, Mace Neufeld Productions, Kanzaman, J.K. Livin Productions, Moguletta, Sahara Productions, Babelsberg Film",2005,4,2,2001-2010
45000000.0,7443,31.8,2000-06-21,224834564.0,84,Released,This ain't no chick flick. It's poultry in motion.,Chicken Run,6.5,1100,en,English,GB,United Kingdom,Summer,0,0,Non-nominee,2461,Mel Gibson,7314,Nick Park,"Animation, Comedy, Family","chicken, freedom, escape, chicken farm, pie machine","DreamWorks SKG, Aardman Animations, DreamWorks Animation, Pathé",2000,6,2,2001-2010
26000000.0,7445,22.1,2009-01-27,43318349.0,104,Released,There are two sides to every family.,Brothers,6.8,600,en,English,US,United States of America,Winter,0,0,Non-nominee,2219,Tobey Maguire,53334,Jim Sheridan,"Drama, Thriller, War","brother brother relationship, brother-in-law, loss of husband, war in afghanistan, sister-in-law","Lionsgate, Relativity Media, Sighvatsson Films, Michael De Luca Productions, Palomar Pictures (II)",2009,1,1,2001-2010
92000000.0,7446,43.2,2008-08-09,188072649.0,107,Released,The movie they think they're making... isn't a movie anymore.,Tropic Thunder,6.5,1700,en,English,US,United States of America,Summer,0,0,Non-nominee,7399,Ben Stiller,7399,Ben Stiller,"Action, Comedy","film making, satire, jungle, movie star, southeast asia, land mine, shackles, war filmmaking, duringcreditsstinger, blackface, method acting","DreamWorks SKG, Goldcrest Pictures, Red Hour Films, Internationale Filmproduktion Stella-del-Sud Second",2008,8,5,2001-2010
75000000.0,7450,14.4,2000-06-16,36754634.0,94,Released,"When Earth Ends, The Adventure Begins.",Titan A.E.,6.3,300,en,English,US,United States of America,Summer,0,0,Non-nominee,1892,Matt Damon,12881,Gary Goldman,"Animation, Action, Science Fiction, Family, Adventure","monster, galaxy, dystopia, space, alien, animation, mission","Twentieth Century Fox Film Corporation, David Kirschner Productions, Fox Animation Studios",2000,6,4,2001-2010
